CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT
C0051,173.4,1.0,152.38,104.12,0.0,105.33,0.264003,0.144655,0.229228,0.385243,2,15,389.93,171.47,17.37,0.1528
C0052,4802.3,1.0,4514.75,2382.38,2051.03,833.05,0.130176,0.02914,0.062149,0.038947,6,15,7391.83,8141.03,908.55,0.061207
C0053,3297.77,1.0,25.47,15.29,22.69,3475.27,0.334796,0.263015,0.11447,0.229552,5,12,6036.42,3012.48,295.84,0.091874
C0054,493.05,1.0,978.36,513.15,434.34,231.89,0.341467,0.185509,0.151733,0.349963,4,7,1465.27,1406.9,173.13,0.584525
C0055,856.3,1.0,751.63,411.6,607.57,0.12,0.30519,0.225036,0.138134,0.002535,2,10,2694.96,1589.48,100.89,0.116076
C0056,779.6,1.0,5.41,2.66,0.0,441.66,0.144701,0.091223,0.079949,0.185231,4,14,3029.53,697.02,40.15,0.663587
C0057,3863.02,1.0,4936.2,2381.85,2772.67,9.48,0.295122,0.127289,0.262017,0.132171,2,11,13765.06,7042.29,410.18,0.105883
C0058,2489.32,1.0,797.04,371.61,635.99,471.81,0.465974,0.202443,0.415129,0.108804,3,11,5294.66,2406.07,254.55,0.144169
C0059,4647.9,1.0,122.44,48.05,413.58,111.72,0.505428,0.371973,0.338161,0.240607,4,13,13163.89,3036.77,340.96,0.417508
C0060,226.17,1.0,373.7,190.72,211.33,136.46,0.182103,0.111052,0.133804,0.33607,3,14,450.24,506.27,46.11,0.151401
C0061,3054.95,1.0,4323.58,2603.9,1443.12,30.93,0.18823,0.046604,0.14937,0.131593,2,13,8138.19,3450.79,194.47,0.124817
C0062,2212.17,1.0,1107.8,575.52,732.03,205.97,0.243004,0.171342,0.119793,0.356348,1,17,7564.12,1958.05,191.1,0.209373
C0063,46020.87,1.0,1429.99,427.2,1021.71,3065.97,0.355093,0.129274,0.303702,0.229021,2,6,156518.11,53782.87,3142.96,0.282861
C0064,853.76,1.0,723.0,247.12,550.37,12908.97,0.172116,0.090876,0.084991,0.074239,7,18,2928.43,1631.19,236.27,0.523023
C0065,1219.04,1.0,377.12,207.08,319.38,66.81,0.086147,0.023631,0.046521,0.106575,2,16,2460.1,1320.16,110.65,0.592807
C0066,4645.14,1.0,196.85,47.82,88.52,104.96,0.153443,0.059401,0.061047,0.190162,5,15,11881.27,6863.56,909.16,0.186557
C0067,2369.04,1.0,402.1,202.97,388.9,29.22,0.311688,0.124006,0.257671,0.221566,3,11,7721.38,1484.13,216.81,0.454079
C0068,27.55,1.0,43.15,21.6,0.0,92.28,0.239043,0.177514,0.164093,0.195178,2,21,48.5,34.05,4.54,0.019676
C0069,568.05,1.0,266.58,68.93,0.0,231.74,0.641263,0.356017,0.502345,0.567941,2,18,1327.51,669.37,33.77,0.226895
C0070,3771.48,1.0,2159.54,763.88,1565.1,138.27,0.399428,0.147745,0.145881,0.089184,3,16,11389.59,3756.45,338.43,0.661058
C0071,713.75,1.0,242.11,71.95,208.41,20.52,0.599767,0.36661,0.301797,0.293998,1,7,1987.17,733.85,40.23,0.168391
C0072,2767.43,1.0,197.41,112.56,136.6,3.49,0.421263,0.223056,0.157546,0.293738,2,21,4656.17,2210.41,294.81,0.368404
C0073,16957.3,1.0,32611.03,21149.39,11255.99,19.48,0.469271,0.110225,0.394562,0.577421,1,16,55792.47,34592.86,4914.24,0.174628
C0074,198.38,1.0,483.45,294.84,1.32,119.55,0.774654,0.317493,0.506231,0.14045,3,17,483.49,473.52,49.56,0.659825
C0075,3328.38,1.0,5786.53,2501.91,3317.34,6285.52,0.192485,0.14713,0.142476,0.215407,2,14,12762.29,4822.92,297.94,0.415608
C0076,489.03,1.0,5439.91,1713.05,3957.63,35.81,0.229171,0.14547,0.20011,0.355775,3,19,1069.81,2225.77,321.97,0.372139
C0077,4207.41,1.0,278.18,139.08,0.0,175.64,0.335994,0.222619,0.212301,0.005521,5,16,16625.09,6113.49,592.28,0.321865
C0078,86140.28,1.0,439.7,163.17,29.31,0.97,0.473385,0.320672,0.217341,0.019309,6,12,318216.08,108221.33,11081.12,0.624859
C0079,180.69,1.0,1112.1,247.95,1032.08,0.51,0.325835,0.094683,0.197207,0.109617,4,14,605.66,797.65,67.25,0.247075
C0080,61.79,1.0,1557.56,669.18,1009.54,0.24,0.168543,0.080544,0.143035,0.203908,3,15,126.77,1025.34,123.13,0.34242
C0081,122.19,1.0,237.35,108.39,0.0,21304.24,0.204941,0.15567,0.088983,0.048561,2,21,387.61,236.26,20.14,0.327007
C0082,29461.52,1.0,17.2,11.46,214.36,284.92,0.151959,0.089669,0.047114,0.079896,2,9,55531.84,15757.16,1043.35,0.399117
C0083,142.84,1.0,547.02,229.95,0.0,10.27,0.388088,0.255827,0.264461,0.270068,1,16,429.2,483.87,62.68,0.169149
C0084,747.8,1.0,1361.18,446.22,737.07,32.69,0.207535,0.075386,0.131264,0.200529,3,14,2425.58,1407.02,97.02,0.308217
C0085,5895.55,1.0,2279.37,1061.69,1337.53,51.92,0.174593,0.118451,0.134923,0.289637,0,14,13717.71,5724.27,319.23,0.460796
C0086,3175.6,1.0,2559.35,768.1,1822.25,5808.45,0.254895,0.201861,0.220792,0.152413,1,13,12655.55,3400.05,421.55,0.272207
C0087,918.49,1.0,2508.28,1441.42,1201.18,247.65,0.449535,0.108366,0.197529,0.227852,9,14,1578.42,2247.27,179.06,0.078291
C0088,2353.15,1.0,99942.05,47804.5,52180.5,273.85,0.554447,0.428288,0.208125,0.057274,6,11,7067.26,44092.18,3454.28,0.306079
C0089,5861.84,1.0,402.68,101.67,309.82,4499.02,0.429276,0.210121,0.220646,0.489813,4,13,19357.11,3982.13,199.95,0.266814
C0090,1099.46,1.0,1894.39,897.97,1023.73,874.1,0.41385,0.105275,0.199121,0.18735,2,17,2044.46,2120.04,136.71,0.358633
C0091,1121.39,1.0,768.22,263.2,612.76,1458.95,0.393592,0.160519,0.35041,0.333478,2,24,4204.72,1455.23,174.75,0.610831
C0092,3131.73,1.0,59.8,17.7,37.81,0.27,0.184573,0.045701,0.081383,0.129254,6,13,9105.05,3208.91,234.82,0.732098
C0093,17929.78,1.0,176.09,42.87,369.5,8.08,0.354604,0.205464,0.111258,0.123863,2,17,70095.84,18775.77,2636.9,0.573932
C0094,900.57,1.0,309.24,203.68,178.21,82689.95,0.0144,0.010557,0.010729,0.066954,3,10,2391.96,804.03,86.45,0.603888
C0095,693.72,1.0,668.16,400.16,164.31,15.38,0.208084,0.158861,0.146407,0.123146,3,11,2677.4,1196.48,167.86,0.162018
C0096,2824.98,1.0,341.41,209.02,0.0,481.72,0.031234,0.02211,0.015927,0.261251,3,25,8254.89,2654.37,355.0,0.320188
C0097,1067.12,1.0,183.6,43.11,91.6,22.76,0.280558,0.22221,0.102503,0.132082,4,14,2186.89,1443.46,207.38,0.027489
C0098,2010.04,1.0,13566.43,9427.06,4234.46,485.73,0.17224,0.130556,0.080665,0.276878,1,12,5233.05,11298.39,955.25,0.297714
C0099,2778.07,1.0,270.89,185.69,359.39,29010.03,0.448636,0.297294,0.273548,0.0351,2,11,7271.04,1979.48,216.41,0.439369
C0100,62.78,1.0,2506.52,1425.38,884.86,307.75,0.401693,0.212905,0.246476,0.283656,4,10,233.04,992.72,91.55,0.365666
C0101,137.29,1.0,666.01,440.03,389.38,211706.07,0.147558,0.102433,0.109333,0.199433,2,18,385.85,582.12,56.2,0.132815
C0102,169.45,1.0,516.92,323.2,159.82,2086.89,0.286594,0.09657,0.186276,0.046383,3,17,598.85,390.05,26.63,0.413149
C0103,1644.02,1.0,484.66,270.02,295.17,4.06,0.372593,0.218674,0.285158,0.46795,3,21,5838.83,2509.8,236.64,0.081381
C0104,409.69,1.0,9.7,3.89,0.0,1.03,0.370818,0.1474,0.26558,0.107235,2,19,1134.32,452.07,35.81,0.376177
C0105,3816.36,1.0,22.58,11.8,0.0,0.19,0.375798,0.19027,0.330404,0.023804,5,12,6675.1,4567.76,665.69,0.426586
C0106,7117.47,1.0,11633.23,6655.68,4454.65,54.92,0.159681,0.126002,0.090433,0.107071,5,15,25008.19,12976.68,1056.58,0.073643
C0107,2425.66,1.0,11.81,4.2,0.0,33.78,0.074265,0.017582,0.036834,0.288069,3,16,9338.42,2823.14,414.41,0.131913
C0108,83844.07,1.0,187.33,79.41,477.29,89.41,0.122442,0.034987,0.047857,0.421149,3,15,330373.47,107287.56,9921.11,0.229171
C0109,4673.12,1.0,116.16,80.67,0.0,74.04,0.512195,0.339184,0.227862,0.074237,1,15,10061.01,6829.76,899.72,0.279169
C0110,1707.66,1.0,1340.57,743.52,660.19,5040.8,0.174408,0.083426,0.053987,0.042435,3,17,3173.79,2961.76,244.48,0.371634
C0111,4001.38,1.0,7.33,3.48,139.41,2.22,0.187451,0.072558,0.125615,0.066021,3,11,7466.59,5270.93,533.43,0.178433
C0112,1290.8,1.0,12069.42,3025.01,8967.91,987.5,0.138726,0.10233,0.051845,0.069731,4,9,4140.48,6401.67,661.83,0.03443
C0113,4016.27,1.0,5530.72,2454.57,2676.18,382.81,0.232703,0.053467,0.132922,0.152183,3,18,15486.52,6407.8,401.79,0.316321
C0114,1913.89,1.0,33413.42,7692.15,25605.32,2892.85,0.192127,0.143749,0.157287,0.262638,4,21,3266.08,28207.52,1760.58,0.503586
C0115,28.97,1.0,4136.93,2379.12,1468.5,625.66,0.150236,0.09078,0.094436,0.072984,2,15,76.94,2003.18,143.54,0.345287
C0116,3839.02,1.0,10.86,2.58,0.0,10824.01,0.31932,0.146316,0.213797,0.209507,4,16,12620.93,4601.77,346.67,0.243728
C0117,2458.02,1.0,43.37,24.25,177.12,12.22,0.135425,0.039806,0.054947,0.140811,3,20,8658.17,1810.68,185.04,0.401026
C0118,3263.15,1.0,30.96,11.9,0.0,821.72,0.280618,0.111561,0.102302,0.007136,4,18,8622.3,2968.87,212.13,0.380884
C0119,19224.02,1.0,1.69,0.38,2.92,756.39,0.124514,0.082579,0.051297,0.043394,2,26,29059.53,14263.02,1689.63,0.294928
C0120,8916.6,1.0,792.96,237.4,426.32,35.06,0.251332,0.099238,0.143402,0.221164,4,10,16301.06,10217.2,788.7,0.23766
C0121,984.19,1.0,1300.83,662.53,509.09,100.72,0.172,0.109764,0.056475,0.161258,0,14,1673.71,2216.51,228.57,0.250574
C0122,592.26,1.0,2671.36,1482.43,1193.86,121.57,0.160401,0.039635,0.097125,0.251521,1,15,1676.96,2035.4,118.7,0.335226
C0123,1235.97,1.0,3.5,1.94,3.01,1593.34,0.226403,0.091632,0.191936,0.058442,3,23,4070.09,1300.52,193.43,0.520374
C0124,3134.35,1.0,141.45,72.0,24.3,124.65,0.233694,0.118228,0.103882,0.032798,7,21,10535.69,3863.23,270.22,0.282767
C0125,251.78,1.0,169.99,71.46,0.0,308.15,0.447734,0.294979,0.294701,0.217744,1,15,584.53,249.73,36.56,0.401565
C0126,975.3,1.0,154.74,66.24,185.95,1.91,0.37316,0.150482,0.124324,0.115655,2,11,2010.12,1260.82,140.07,0.369996
C0127,1928.51,1.0,42.43,8.78,15.83,63686.96,0.356185,0.124364,0.249634,0.161041,4,14,5244.05,2605.37,256.48,0.32941
C0128,138.31,1.0,952.07,310.67,590.26,117.96,0.410175,0.155287,0.264333,0.134993,3,19,379.22,574.82,77.66,0.215898
C0129,195.25,1.0,130.95,70.92,0.0,9.6,0.077166,0.045488,0.066663,0.256859,3,14,718.04,355.08,49.85,0.505837
C0130,2084.08,1.0,113.47,55.37,0.0,132.56,0.325703,0.102537,0.160739,0.025675,2,17,7597.1,1674.73,103.79,0.223381
C0131,950.74,1.0,77.88,44.59,0.0,57.7,0.097957,0.068486,0.079426,0.03282,3,18,1822.15,1219.21,150.16,0.306875
C0132,7125.74,1.0,19457.18,4685.41,14655.5,41.95,0.036929,0.022917,0.01849,0.167017,1,17,11927.07,16574.26,1416.6,0.117241
C0133,6271.9,1.0,77.24,40.46,0.0,407.57,0.401043,0.200841,0.294751,0.06318,3,15,16381.12,8978.54,1225.75,0.365592
C0134,1235.65,1.0,184.47,41.81,44.51,3.61,0.140709,0.083801,0.067339,0.026477,3,13,3654.16,1150.49,135.77,0.052167
C0135,213.98,1.0,26.51,7.68,0.0,22.3,0.236426,0.118854,0.207799,0.012924,6,15,821.57,310.49,17.71,0.301009
C0136,1071.86,1.0,7818.86,5464.13,2188.73,283.38,0.549067,0.274248,0.451782,0.030084,3,14,3970.84,7490.89,512.97,0.253676
C0137,2635.81,1.0,749.01,443.23,287.52,11403.32,0.391201,0.108795,0.243065,0.10094,5,23,9306.35,3830.95,493.86,0.828868
C0138,706.32,1.0,15536.95,7702.63,8099.07,0.83,0.467395,0.214804,0.39765,0.314184,4,10,2735.41,12729.39,1082.91,0.306658
C0139,4110.12,1.0,8097.61,3751.75,4277.83,69.0,0.352168,0.092164,0.184703,0.162145,0,15,13392.42,11018.61,1614.48,0.126429
C0140,770.31,1.0,9652.21,5876.13,4011.37,1408.51,0.032755,0.007064,0.022516,0.074755,0,27,1463.47,5191.16,539.2,0.414551
C0141,1867.67,1.0,910.72,343.57,665.71,2093.24,0.145814,0.079574,0.115509,0.298197,4,13,6944.44,1812.52,157.66,0.021153
C0142,7845.12,1.0,15.2,3.73,0.0,851.89,0.165893,0.059737,0.070263,0.30616,3,16,25496.4,11636.95,835.71,0.40118
C0143,594.28,1.0,50.2,30.21,139.31,21.7,0.083566,0.024335,0.062168,0.431517,2,12,2033.1,654.55,79.64,0.406681
C0144,2253.0,1.0,60.4,26.24,228.37,70.44,0.026843,0.013616,0.009244,0.22783,2,11,6480.48,2535.92,237.89,0.346513
C0145,4795.44,1.0,337.85,219.63,418.33,26.41,0.45809,0.178428,0.346134,0.203385,3,19,16998.98,2788.89,342.26,0.52297
C0146,2631.86,1.0,135.36,58.65,0.0,45.88,0.237294,0.179139,0.198646,0.064501,2,16,4601.01,1658.52,158.73,0.244305
C0147,8196.89,1.0,1009.39,469.45,790.16,425.48,0.244763,0.162255,0.08612,0.073482,7,21,26675.93,11242.46,670.67,0.083038
C0148,806.41,1.0,3690.7,2104.67,1674.48,4003.08,0.230361,0.151485,0.125994,0.13781,7,10,2083.63,3640.42,307.97,0.521701
C0149,1463.4,1.0,460.12,127.58,531.64,35.59,0.474037,0.125801,0.157594,0.080984,5,15,2904.23,1593.42,201.21,0.171805
C0150,433.07,1.0,366.52,89.18,313.24,0.72,0.411869,0.276262,0.334436,0.2153,3,11,1084.8,500.64,67.2,0.466439
C0151,672.58,1.0,290.5,96.11,439.65,4119.95,0.18005,0.074552,0.116983,0.040067,2,17,2456.92,811.2,73.03,0.160984
C0152,393.46,1.0,4123.55,2648.96,1296.5,17.96,0.216256,0.172073,0.190239,0.230078,3,12,815.58,3416.19,430.2,0.135494
C0153,533.01,1.0,897.51,562.95,512.45,26.85,0.210181,0.104826,0.081225,0.085871,0,17,1654.47,1173.01,66.03,0.339374
C0154,2106.22,1.0,1433.36,372.1,610.85,813.01,0.085248,0.01719,0.075699,0.153882,3,11,7172.96,2173.43,192.59,0.207926
C0155,124.32,1.0,125.08,85.86,224.23,1.76,0.219952,0.167535,0.10778,0.224407,3,13,288.6,212.7,23.48,0.164912
C0156,640.55,1.0,1616.36,524.62,1065.0,66.5,0.162778,0.08041,0.117094,0.178928,4,16,1384.98,1551.42,92.3,0.291127
C0157,2817.45,1.0,2367.54,1430.91,910.97,1782.34,0.058441,0.031493,0.038968,0.332608,3,19,9091.66,4497.52,575.35,0.358708
C0158,3147.61,1.0,89.36,51.31,208.82,27.42,0.790578,0.18642,0.45312,0.120203,0,16,5417.96,3908.36,376.43,0.434882
C0159,1374.47,1.0,867.11,540.47,696.83,196.36,0.11558,0.05636,0.069112,0.036565,2,19,3975.74,2323.75,163.97,0.125362
C0160,3065.34,1.0,1044.71,674.43,0.0,28.12,0.292693,0.123898,0.147634,0.038147,1,12,11326.73,5256.32,750.66,0.250672
C0161,3630.7,1.0,712.38,215.1,406.89,5.42,0.027945,0.020725,0.016419,0.056933,2,14,10925.52,2099.83,209.25,0.272289
C0162,3577.74,1.0,945.05,468.76,810.15,0.66,0.530558,0.384038,0.233348,0.169538,1,9,8722.62,3928.61,470.23,0.367631
C0163,1810.11,1.0,131.62,31.68,72.54,276.77,0.059771,0.027922,0.021054,0.056409,1,21,6203.5,2504.01,130.03,0.351032
C0164,387.76,1.0,123.95,30.16,0.0,36672.66,0.495041,0.332485,0.396742,0.164605,1,12,935.74,460.04,46.9,0.146996
C0165,2389.85,1.0,2802.43,1525.24,1204.33,697.54,0.382855,0.179698,0.189557,0.033931,2,17,5086.98,3774.13,279.61,0.417245
C0166,44868.58,1.0,124.79,62.26,226.77,69.43,0.097035,0.07331,0.070904,0.042369,4,15,77150.78,32172.74,4308.5,0.25977
C0167,7123.86,1.0,104.67,56.39,430.38,11013.54,0.132537,0.079846,0.104936,0.139881,3,14,26156.22,9436.07,743.95,0.323412
C0168,4702.17,1.0,94.55,19.02,168.69,214.67,0.444803,0.271919,0.173776,0.020655,4,15,14604.9,2553.01,191.27,0.220017
C0169,23330.51,1.0,2657.46,651.72,1986.8,10.3,0.592338,0.373102,0.521829,0.370618,2,22,62609.31,13566.06,1592.93,0.058779
C0170,1695.19,1.0,2537.68,628.68,1923.03,72.28,0.427787,0.230261,0.321297,0.176686,3,13,5272.85,2481.35,350.62,0.26982
C0171,1093.73,1.0,3849.57,1177.66,2376.66,96.58,0.266955,0.128432,0.09219,0.035161,4,18,2081.53,2855.55,184.47,0.50893
C0172,351.88,1.0,210.21,94.07,411.1,2099.79,0.311565,0.09556,0.136033,0.28946,4,12,551.42,327.95,41.47,0.330082
C0173,814.37,1.0,32.77,16.13,0.0,374.09,0.481986,0.32084,0.374815,0.113051,2,15,2860.86,1199.24,128.41,0.043546
C0174,909.49,1.0,119.15,55.66,0.0,16.85,0.204933,0.080365,0.101411,0.150525,4,17,3418.64,965.57,126.48,0.301085
C0175,13966.11,1.0,81.81,31.45,0.0,11.11,0.328317,0.261133,0.117954,0.172733,3,15,24455.74,19908.45,1700.31,0.087823
C0176,46.84,1.0,75.21,34.92,305.71,296.32,0.138938,0.071467,0.06102,0.053283,4,15,120.09,120.97,14.68,0.063019
C0177,944.05,1.0,176.98,72.54,279.35,630.07,0.168377,0.034873,0.124786,0.098515,8,13,3551.11,623.98,55.77,0.535045
C0178,371.46,1.0,137.64,75.28,0.0,264.84,0.451089,0.199342,0.243634,0.099271,4,23,1309.67,601.01,52.14,0.013164
C0179,512.67,1.0,142.07,90.43,11.4,1324.05,0.095708,0.046383,0.0834,0.191931,2,17,1285.65,826.0,48.88,0.679082
C0180,2311.71,1.0,876.3,416.46,515.41,2.82,0.474476,0.236574,0.26476,0.339032,5,25,4018.78,2543.6,296.62,0.276538
C0181,330.65,1.0,41.08,21.25,400.87,278.42,0.416929,0.324548,0.340344,0.015367,2,22,762.92,292.47,39.28,0.493978
C0182,492.53,1.0,286.54,170.08,114.48,113.28,0.185942,0.112225,0.11598,0.315312,3,24,1739.1,759.76,91.51,0.1253
C0183,556.31,1.0,43.3,25.53,0.0,109.24,0.208427,0.13418,0.099995,0.506291,3,12,1163.03,342.55,19.47,0.2015
C0184,3939.05,1.0,231.82,141.92,0.0,1.81,0.269951,0.156604,0.093486,0.076584,5,15,15072.8,5459.27,278.55,0.281798
C0185,82.33,1.0,105.83,36.0,33.04,20.26,0.376905,0.241768,0.242306,0.124196,3,13,198.47,104.24,5.67,0.146009
C0186,1622.05,1.0,219.03,68.63,338.65,494.82,0.293515,0.081109,0.097196,0.364084,3,16,5891.03,1909.36,230.98,0.2169
