customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID0030,Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,75.95,5200.08,No
ID0031,Male,0,Yes,No,35,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),86.78,3160.73,Yes
ID0032,Female,0,Yes,Yes,23,No,Yes,No,Yes,Yes,No internet service,No,No internet service,No,Two year,Yes,Credit card (automatic),104.86,2347.96,No
ID0033,Female,0,No,No,56,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,22.3,1314.49,No
ID0034,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No internet service,Two year,No,Mailed check,101.95,192.41,No
ID0035,Male,0,No,Yes,44,Yes,Yes,No,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),54.03,2447.91,No
ID0036,Female,1,Yes,No,18,Yes,No,No,No,Yes,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),48.96,872.08,No
ID0037,Male,0,No,Yes,48,Yes,No,DSL,No,Yes,No,No,No,No internet service,Two year,No,Mailed check,104.99,5037.11,No
ID0038,Male,1,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,One year,No,Mailed check,79.24,713.79,Yes
ID0039,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,24.14,473.97,No
ID0040,Male,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,37.41,1982.7,No
ID0041,Male,0,Yes,Yes,15,No,No,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),112.27,1790.18,No
ID0042,Female,0,No,No,71,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet service,One year,Yes,Mailed check,59.71,4280.23,No
ID0043,Female,0,Yes,Yes,36,No,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,45.67,1545.46,No
ID0044,Female,0,Yes,No,26,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,38.14,1107.77,No
ID0045,Female,0,No,Yes,34,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.19,2668.38,No
ID0046,Female,1,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,115.55,3958.38,No
ID0047,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),31.74,1586.75,No
ID0048,Female,0,No,No,40,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,42.3,1853.12,Yes
ID0049,Female,0,No,Yes,21,No,No,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,68.05,1583.75,No
ID0050,Male,0,No,No,21,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,One year,No,Electronic check,39.89,749.08,No
ID0051,Female,0,Yes,Yes,19,No,No,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,118.7,2228.81,No
ID0052,Male,0,Yes,Yes,45,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,59.39,2667.13,Yes
ID0053,Female,1,No,No,33,Yes,Yes,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,62.53,2227.39,No
ID0054,Male,0,No,Yes,61,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,40.28,2546.23,Yes
ID0055,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.23,851.86,Yes
ID0056,Female,0,Yes,Yes,12,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),65.0,779.53,No
ID0057,Male,0,Yes,No,7,Yes,No,DSL,No internet service,No,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),83.42,573.04,Yes
ID0058,Male,0,No,No,53,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,35.76,1818.87,Yes
ID0059,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,31.25,520.65,No
ID0060,Male,0,Yes,Yes,16,Yes,No,No,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,74.61,1239.12,No
ID0061,Male,0,Yes,No,39,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,No,Electronic check,36.14,1468.56,No
ID0062,Male,0,No,No,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,70.03,3383.84,No
ID0063,Male,0,Yes,No,61,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,118.67,7130.3,Yes
ID0064,Male,0,Yes,No,18,No,No,DSL,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,62.65,1064.16,No
ID0065,Female,0,No,No,48,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),20.76,1002.77,Yes
ID0066,Female,0,No,No,37,Yes,No,No,Yes,No,No,Yes,No internet service,Yes,One year,No,Electronic check,82.0,3123.87,No
ID0067,Male,1,Yes,No,61,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,44.27,2728.56,Yes
ID0068,Female,1,Yes,No,36,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,112.79,3937.38,Yes
ID0069,Female,0,No,No,14,Yes,Yes,No,No internet service,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),41.74,382.16,No
ID0070,Female,0,No,Yes,60,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,111.98,6715.14,Yes
ID0071,Female,0,No,No,55,No,Yes,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),20.09,1145.73,No
ID0072,Male,0,No,No,6,No,Yes,DSL,No,No,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),116.58,778.66,Yes
ID0073,Female,1,No,No,35,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,45.73,1775.86,No
ID0074,Male,0,No,Yes,36,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,96.8,3597.32,Yes
ID0075,Female,1,Yes,No,69,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,65.12,4554.6,Yes
ID0076,Female,1,Yes,No,39,Yes,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),55.48,2110.03,Yes
ID0077,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,One year,No,Credit card (automatic),114.53,1976.8,No
ID0078,Male,0,Yes,No,0,Yes,No,DSL,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),112.9,0.0,Yes
ID0079,Female,0,No,No,43,Yes,No,No,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,78.95,3504.47,No
ID0080,Male,1,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),112.65,7510.54,Yes
ID0081,Female,0,No,Yes,41,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,97.51,4137.84,Yes
ID0082,Male,1,Yes,Yes,44,Yes,No,DSL,Yes,No,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),54.77,2370.77,No
ID0083,Female,0,Yes,Yes,45,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,108.3,4708.96,No
ID0084,Male,0,No,Yes,54,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),54.3,2857.45,Yes
ID0085,Male,1,Yes,No,20,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,113.34,2271.41,No
ID0086,Female,0,Yes,No,4,Yes,No phone service,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),70.1,252.51,Yes
ID0087,Male,0,Yes,No,40,Yes,No,DSL,No,No,No internet service,No,Yes,No,Two year,No,Credit card (automatic),92.49,3723.86,No
ID0088,Female,0,No,No,39,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),82.27,3027.25,No
ID0089,Female,0,Yes,No,64,Yes,Yes,DSL,No internet service,No internet service,No,Yes,Yes,No,Two year,Yes,Electronic check,91.97,5965.62,No
ID0090,Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),36.4,374.45,No
ID0091,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),107.62,7210.31,No
ID0092,Female,1,No,Yes,22,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),100.9,2171.97,Yes
ID0093,Female,1,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.66,319.91,Yes
ID0094,Female,0,No,Yes,39,No,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,39.54,1485.47,Yes
ID0095,Female,0,No,No,60,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,One year,No,Mailed check,75.84,4378.88,No
ID0096,Female,0,No,No,57,Yes,Yes,DSL,Yes,No,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),62.08,3594.35,No
ID0097,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),20.06,161.8,No
ID0098,Female,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,111.03,3202.38,Yes
ID0099,Male,0,No,No,23,No,No,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.55,2306.65,Yes
ID0100,Male,0,Yes,No,37,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),108.46,4070.56,No
ID0101,Female,0,No,Yes,58,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,Yes,Electronic check,78.86,4576.95,No
ID0102,Female,0,Yes,Yes,62,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,51.65,3209.33,No
ID0103,Female,0,Yes,No,63,No,Yes,No,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),62.43,3828.03,No
ID0104,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Two year,No,Mailed check,101.59,7152.39,No
ID0105,Female,0,Yes,No,51,Yes,Yes,No,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),38.29,2001.99,No
ID0106,Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),33.47,1795.27,No
ID0107,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),28.34,397.81,No
ID0108,Female,0,Yes,Yes,55,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),28.25,1539.22,No
ID0109,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,67.15,4712.66,Yes
ID0110,Female,0,No,No,53,Yes,Yes,No,No internet service,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),92.24,4827.43,Yes
ID0111,Male,0,Yes,Yes,60,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,107.73,6329.85,Yes
ID0112,Female,0,No,Yes,43,Yes,No phone service,DSL,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),75.32,3329.43,No
ID0113,Female,0,No,Yes,0,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,One year,No,Electronic check,68.12,0.0,Yes
ID0114,Male,0,No,No,62,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),57.16,3470.03,No
ID0115,Female,1,No,No,58,No,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),48.47,2853.57,No
ID0116,Male,1,Yes,Yes,2,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,21.62,76.45,No
ID0117,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),91.7,1084.2,No
ID0118,Female,1,Yes,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),25.37,394.43,Yes
ID0119,Male,0,No,No,60,Yes,No phone service,No,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,94.44,5763.77,Yes
ID0120,Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.98,979.17,Yes
ID0121,Male,0,Yes,Yes,32,Yes,No phone service,DSL,No,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,117.49,3703.6,No
ID0122,Female,0,Yes,Yes,40,Yes,Yes,DSL,No internet service,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,20.26,836.91,Yes
ID0123,Male,0,No,No,3,Yes,No,No,No,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,42.66,146.83,No
ID0124,Male,0,Yes,Yes,46,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,26.52,1338.63,Yes
ID0125,Female,0,No,No,45,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,112.0,5020.38,Yes
ID0126,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,69.91,3807.58,Yes
ID0127,Male,0,Yes,No,70,Yes,No,No,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,114.3,7867.56,No
ID0128,Female,1,Yes,No,8,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,33.86,306.08,No
ID0129,Female,0,No,No,69,Yes,No,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.41,3476.63,Yes
ID0130,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),82.46,2886.7,No
ID0131,Male,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,45.93,2596.01,No
ID0132,Male,0,Yes,No,37,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,110.9,3992.12,Yes
ID0133,Male,0,No,No,42,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,62.35,2545.12,No
ID0134,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,79.94,5229.52,No
ID0135,Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,53.52,1459.1,No
ID0136,Male,0,Yes,Yes,4,Yes,Yes,No,Yes,No,No internet service,No,No,No,Two year,Yes,Mailed check,39.24,103.6,No
ID0137,Male,0,Yes,No,17,Yes,No phone service,Fiber optic,No internet service,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),98.47,1484.31,No
ID0138,Male,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),97.94,2570.3,No
ID0139,Male,0,Yes,No,29,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),100.2,2729.51,Yes
ID0140,Female,0,Yes,No,69,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,51.43,3443.95,No
ID0141,Male,0,No,Yes,17,Yes,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,104.1,1525.98,Yes
ID0142,Female,0,Yes,No,24,Yes,Yes,No,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.31,1145.36,Yes
ID0143,Female,1,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),54.54,1837.3,Yes
ID0144,Female,1,Yes,No,71,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,48.34,3391.08,No
ID0145,Male,1,No,No,70,No,No,DSL,No,No,No internet service,No,No internet service,No internet service,Two year,No,Credit card (automatic),61.53,4271.33,No
ID0146,Male,0,Yes,No,62,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),20.92,1552.23,No
ID0147,Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Credit card (automatic),43.44,982.28,No
ID0148,Male,0,Yes,No,64,Yes,No phone service,No,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,43.9,2831.68,Yes
ID0149,Female,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),103.87,6035.29,No
ID0150,Male,0,Yes,No,65,Yes,Yes,DSL,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Mailed check,88.01,5746.19,No
ID0151,Male,0,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.66,2708.03,No
ID0152,Male,1,No,No,11,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,54.7,678.31,No
ID0153,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),115.0,5063.65,No
ID0154,Male,1,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,78.22,4152.2,Yes
ID0155,Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,88.53,2329.91,Yes
ID0156,Male,0,Yes,No,53,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No internet service,One year,Yes,Electronic check,115.84,6193.43,No
ID0157,Female,0,Yes,No,30,Yes,Yes,No,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,84.54,2552.88,Yes
ID0158,Male,0,No,No,21,Yes,Yes,No,No internet service,No,No,No,Yes,Yes,Two year,Yes,Mailed check,58.45,1123.8,No
ID0159,Female,0,Yes,No,47,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),56.74,2654.58,No
ID0160,Male,0,No,Yes,7,Yes,Yes,No,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),29.51,306.1,Yes
ID0161,Male,0,Yes,No,27,Yes,No phone service,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,28.4,728.0,Yes
ID0162,Female,0,No,Yes,67,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),56.23,3775.07,No
ID0163,Female,1,No,Yes,23,Yes,Yes,No,No,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,60.38,1281.28,No
ID0164,Female,0,No,No,24,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),84.27,2059.68,Yes
ID0165,Male,1,No,No,46,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,64.56,3015.92,No
ID0166,Female,0,Yes,Yes,16,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),91.27,1694.77,No
ID0167,Male,0,No,No,65,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),28.33,1864.73,No
ID0168,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,49.98,380.08,No
ID0169,Female,0,No,Yes,61,Yes,Yes,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,109.07,6638.17,Yes
ID0170,Female,0,No,No,36,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),22.65,806.84,No
ID0171,Male,0,Yes,No,4,Yes,Yes,No,No,Yes,Yes,No,No,No,Two year,No,Electronic check,84.33,307.17,Yes
ID0172,Male,0,No,No,45,No,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,73.94,3463.24,No
ID0173,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,No,Credit card (automatic),24.32,21.38,Yes
ID0174,Female,0,Yes,No,58,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.48,1940.77,No
ID0175,Female,0,Yes,No,69,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),47.1,3241.43,Yes
ID0176,Male,0,No,No,28,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,28.51,714.46,No
ID0177,Male,0,Yes,No,7,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Mailed check,55.42,331.95,No
